experiment_id,model,run_id,coop_value,risk_value,replication,extraction_amount,declared_max,extraction_fraction,justification
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep1,0.2,0.2,1,9.5000,11.0000,0.863636,"Havuz tam dolu ve yenilenme oranı güçlü. Ancak uzun vadeli sürdürülebilirliği fazla gözetmeksizin, kısa vadeli kazancı ön planda tutarak yüksekçe bir çekim yapıyorum. Havuzun çökmemesi için sınırın biraz altında kalıyorum ama işbirliğine fazla yatırım yapmıyorum."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep2,0.2,0.2,2,9.5000,12.0000,0.791667,"Havuz tam dolu ve yenilenme oranı güçlü. Ancak uzun vadeli sürdürülebilirliği fazla gözetmeksizin kendi payımı maksimize etmeye yakın bir strateji izliyorum. Havuzun çökmemesi için sınırın biraz altında kalıyorum, fakat kişisel kazancı ön planda tutuyorum."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep3,0.2,0.2,3,9.5000,12.0000,0.791667,"Havuz tam dolu ve yenilenme oranı güçlü. Kısa vadeli kazanımı artırmak için maksimuma yakın bir çekim yapıyorum. Havuzun sürdürülebilirliğine çok fazla önem vermeksizin, mevcut fırsattan yararlanmak önceliğim."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep4,0.2,0.2,4,9.5000,12.0000,0.791667,Havuz tam kapasitede ve yenilenme oranı güçlü. Kısa vadeli kazanımı önemseyen bir yaklaşımla maksimuma yakın ama tam maksimum değil bir miktar çekiyorum. Havuzun sürdürülebilirliğine çok fazla önem vermeksizin kendi payımı güvence altına almak istiyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep5,0.2,0.2,5,9.5000,12.0000,0.791667,"Havuz tam kapasitede ve yenilenme oranı güçlü. Kısa vadeli kazanımı ön planda tutarak maksimuma yakın bir çekim yapıyorum. Havuzun sürdürülebilirliğine çok fazla önem vermeksizin, mevcut fırsattan yararlanmak mantıklı görünüyor."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep6,0.2,0.2,6,9.5000,12.0000,0.791667,"Havuz tam dolu ve yenilenme oranı güçlü. Kısa vadeli kazanımı ön planda tutarak maksimuma yakın bir çekim yapıyorum. Havuzun sürdürülebilirliğine çok fazla önem vermeksizin, mevcut fırsattan yararlanmak mantıklı görünüyor."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep7,0.2,0.2,7,9.5000,12.0000,0.791667,"Havuz tam kapasitede ve yenilenme oranı güçlü. Kısa vadeli kazancı ön planda tutarak maksimuma yakın bir çekim yapıyorum. Havuzun sürdürülebilirliğine çok fazla önem vermeksizin, mevcut fırsattan yararlanmak istiyorum."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep8,0.2,0.2,8,9.5000,12.0000,0.791667,"Havuz tam dolu ve yenilenme oranı güçlü. Kısa vadeli kazanç için maksimuma yakın bir çekim yapıyorum; ancak havuzun tamamen tükenmemesi için biraz altında kalıyorum. Diğer oyuncuların davranışları henüz bilinmiyor, bu nedenle agresif ama kontrollü bir başlangıç stratejisi benimsiyorum."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep9,0.2,0.2,9,9.5000,11.0000,0.863636,"Havuz tam kapasitede ve yenilenme oranı güçlü. Ancak uzun vadeli sürdürülebilirliği fazla zorlamadan, makul düzeyde bir çekim yapıyorum. Maksimumun altında kalarak havuzun sağlıklı kalmasına katkı sağlıyorum, fakat kendi payımı da göz ardı etmiyorum."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.2_rep10,0.2,0.2,10,9.5000,12.0000,0.791667,"Havuz tam kapasitede ve yenilenme oranı güçlü. Kısa vadeli kazanımı ön planda tutarak maksimuma yakın bir çekim yapıyorum. Havuzun sürdürülebilirliğine çok fazla önem vermeksizin, mevcut fırsattan yararlanmak mantıklı görünüyor."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.8_rep1,0.2,0.8,1,10.5000,12.0000,0.875000,Havuz tam kapasitede ve yenilenme oranı güçlü. Agresif bir çekim yaparak kısa vadeli kazancı maksimize etmeyi tercih ediyorum. Havuzun sürdürülebilirliğine çok odaklanmak yerine mevcut fırsatı değerlendirmek daha mantıklı. Maksimuma yakın ama tam sınırda değil.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.8_rep2,0.2,0.8,2,10.5000,12.0000,0.875000,"Havuz tam kapasitede ve yenilenme oranı güçlü. Agresif bir çekim yaparak kısa vadede maksimum kazanç sağlamayı hedefliyorum. Havuzun sürdürülebilirliğine çok önem vermeksizin, mevcut fırsatı değerlendirmek önceliğim."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.8_rep3,0.2,0.8,3,10.5000,12.0000,0.875000,Havuz tam kapasitede ve yenilenme oranı güçlü. Agresif bir çekim yaparak kısa vadede maksimum kazanç sağlamayı hedefliyorum. Havuzun sürdürülebilirliğine çok odaklanmak yerine mevcut fırsatı değerlendiriyorum; ancak havuzu tamamen tüketmemek adına maksimumun biraz altında kalıyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.8_rep4,0.2,0.8,4,10.5000,12.0000,0.875000,Havuz tam kapasitede ve yenilenme oranı güçlü. Maksimuma yakın ama biraz altında bir çekim yaparak kısa vadede yüksek kazanç elde etmeyi hedefliyorum. Havuzun sürdürülebilirliğine çok odaklanmak yerine mevcut fırsatı değerlendiriyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.8_rep5,0.2,0.8,5,10.5000,12.0000,0.875000,Havuz tam kapasitede ve yenilenme oranı güçlü. Maksimuma yakın ama biraz altında bir çekim yaparak kısa vadede yüksek kazanç hedefliyorum. Havuzun sürdürülebilirliğine çok odaklanmak yerine mevcut fırsatı değerlendirmeyi tercih ediyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.8_rep6,0.2,0.8,6,10.5000,12.0000,0.875000,Havuz tam kapasitede ve yenilenme oranı güçlü. Maksimuma yakın ama biraz altında bir çekim yaparak kısa vadede yüksek kazanç elde etmeyi hedefliyorum. Havuzun sürdürülebilirliği ikincil öncelik; agresif ama havuzu hemen çöküşe sürüklemeyecek bir hamle.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.8_rep7,0.2,0.8,7,10.5000,12.0000,0.875000,Havuz tam kapasitede ve yenilenme oranı güçlü. Maksimuma yakın ama biraz altında bir çekim yaparak kısa vadede yüksek kazanç hedefliyorum. Havuzun sürdürülebilirliğine çok odaklanmak yerine mevcut fırsatı değerlendirmeyi tercih ediyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.8_rep8,0.2,0.8,8,10.5000,12.0000,0.875000,Havuz tam dolu ve yenilenme oranı güçlü. Maksimuma yakın ama biraz altında bir çekim yaparak kısa vadede yüksek kazanç hedefliyorum. Havuzun sürdürülebilirliğine çok odaklanmak yerine mevcut fırsatı değerlendirmeyi tercih ediyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.8_rep9,0.2,0.8,9,10.5000,12.0000,0.875000,Havuz tam kapasitede ve yenilenme oranı güçlü. Maksimuma yakın ama biraz altında bir çekim yaparak kısa vadede yüksek kazanç elde etmeyi hedefliyorum. Havuzun sürdürülebilirliğine çok odaklanmak yerine mevcut fırsatı değerlendiriyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.2_0.8_rep10,0.2,0.8,10,10.5000,12.0000,0.875000,Havuz tam kapasitede ve yenilenme oranı güçlü. Maksimuma yakın ama biraz altında bir çekim yaparak kısa vadede yüksek kazanç hedefliyorum. Havuzun sürdürülebilirliğine çok odaklanmak yerine mevcut fırsatı değerlendirmeyi tercih ediyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.2_rep1,0.8,0.2,1,4.5000,7.0000,0.642857,"Havuz tam kapasitede ve yenilenme oranı güçlü. Uzun vadeli sürdürülebilirliği korumak adına temkinli bir çekim yapıyorum. Diğer ajanların da benzer davranması durumunda havuz sağlıklı kalacak; bu nedenle maksimumun çok altında, ortak çıkarı gözeten bir miktar seçiyorum."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.2_rep2,0.8,0.2,2,4.5000,6.0000,0.750000,Havuz tam kapasitede ve yenilenme oranı güçlü. Uzun vadeli sürdürülebilirliği korumak adına mütevazı bir çekim yapıyorum. Diğer ajanların da benzer davranması durumunda havuz sağlıklı kalacak ve herkes kazanmaya devam edecek. Maksimumun çok altında kalarak ortak kaynağı koruma önceliğimi yansıtıyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.2_rep3,0.8,0.2,3,4.5000,7.0000,0.642857,Havuz tam kapasitede ve yenilenme oranı güçlü. Uzun vadeli sürdürülebilirliği korumak adına temkinli ve ölçülü bir çekim yapıyorum. Diğer ajanların da benzer davranması durumunda havuz sağlıklı kalacak; bu nedenle maksimumun çok altında kalarak ortak kaynağı koruma önceliği taşıyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.2_rep4,0.8,0.2,4,4.5000,6.0000,0.750000,Havuz tam kapasitede ve yenilenme oranı güçlü. Uzun vadeli sürdürülebilirliği korumak adına temkinli ve ölçülü bir çekim yapıyorum. Diğer ajanların da benzer davranması durumunda havuz sağlıklı kalacak; bu nedenle maksimumun çok altında kalarak ortak kaynağı koruma önceliği taşıyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.2_rep5,0.8,0.2,5,5.5000,7.0000,0.785714,Havuz tam kapasitede ve yenilenme oranı güçlü. Uzun vadeli sürdürülebilirliği korumak adına temkinli bir çekim yapıyorum. Maksimumun yaklaşık yarısını alarak hem kendi payımı güvence altına alıyor hem de havuzun sağlıklı kalmasına katkı sağlıyorum. Diğer ajanların da benzer bir tutum sergilemesi durumunda havuz büyümeye devam edecektir.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.2_rep6,0.8,0.2,6,4.5000,6.0000,0.750000,Havuz tam kapasitede ve yenilenme oranı güçlü. Uzun vadeli sürdürülebilirliği korumak adına mütevazı bir çekim yapıyorum. Diğer ajanların da benzer davranması durumunda havuz sağlıklı kalacak ve herkes kazanmaya devam edecek. Maksimumun çok altında kalarak ortak kaynağı koruma önceliğimi yansıtıyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.2_rep7,0.8,0.2,7,4.5000,6.0000,0.750000,Havuz tam kapasitede ve yenilenme oranı güçlü. Uzun vadeli sürdürülebilirliği korumak adına mütevazı bir çekim yapıyorum. Diğer ajanların da benzer davranması durumunda havuz sağlıklı kalacak ve herkes kazanmaya devam edecek. Maksimumun çok altında kalarak ortak kaynağı koruma önceliğimi yansıtıyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.2_rep8,0.8,0.2,8,4.5000,6.0000,0.750000,Havuz tam kapasitede ve yenilenme oranı güçlü. Uzun vadeli sürdürülebilirliği korumak adına mütevazı bir çekim yapıyorum. Diğer ajanların da benzer davranması durumunda havuz sağlıklı kalacak ve herkes uzun vadede daha fazla kazanacak. Maksimumun çok altında kalarak iş birliğine dayalı bir norm oluşturmayı hedefliyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.2_rep9,0.8,0.2,9,4.5000,6.0000,0.750000,Havuz tam kapasitede ve yenilenme oranı güçlü. Uzun vadeli sürdürülebilirliği korumak adına mütevazı bir çekim yapıyorum. Diğer ajanların da benzer davranması halinde havuz sağlıklı kalır. Maksimumun çok altında kalarak ortak kaynağa katkı sağlıyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.2_rep10,0.8,0.2,10,4.5000,6.0000,0.750000,Havuz tam kapasitede ve yenilenme oranı güçlü. Uzun vadeli sürdürülebilirliği korumak adına mütevazı bir çekim yapıyorum. Diğer ajanların da benzer davranması durumunda havuz sağlıklı kalacak ve herkes kazanmaya devam edecek. Maksimumun çok altında kalarak ortak kaynağı koruma önceliğimi yansıtıyorum.
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.8_rep1,0.8,0.8,1,5.5000,8.0000,0.687500,"Havuz tam kapasitede ve yenilenme oranı güçlü. Uzun vadeli sürdürülebilirliği korumak adına maksimumun yaklaşık yarısını çekiyorum. Bu, hem bireysel kazanç sağlar hem de havuzun sağlıklı kalmasına katkıda bulunur. Diğer ajanların da benzer bir tutum sergilemesi durumunda havuz büyümeye devam edecektir."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.8_rep2,0.8,0.8,2,5.5000,8.0000,0.687500,"Havuz tam kapasitede ve yenilenme oranı güçlü. Uzun vadeli sürdürülebilirliği korumak adına maksimumun altında, ılımlı bir çekim yapıyorum. Bu sayede havuzun büyümesine alan tanıyarak gelecek roundlarda da tüm katılımcıların faydalanabileceği bir denge sağlamayı hedefliyorum."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.8_rep3,0.8,0.8,3,6.5000,9.0000,0.722222,"Havuz tam kapasitede ve yenilenme oranı güçlü (1.15). Uzun vadeli sürdürülebilirliği korumak adına maksimumun yaklaşık yarısını çekiyorum. Bu, havuzun sağlıklı kalmasına katkı sağlarken makul bir kazanım da elde etmemi sağlar. Diğer ajanların da benzer bir denge gözetmesi durumunda havuz büyümeye devam edecektir."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.8_rep4,0.8,0.8,4,6.5000,9.0000,0.722222,"Havuz tam kapasitede ve yenilenme oranı güçlü (1.15). Uzun vadeli sürdürülebilirliği korumak adına maksimumun yaklaşık yarısını çekiyorum. Bu, hem havuzun sağlıklı kalmasına katkı sağlar hem de makul bir kazanım elde etmemi mümkün kılar. Diğer ajanların da benzer bir denge gözetmesini umuyorum."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.8_rep5,0.8,0.8,5,5.5000,8.0000,0.687500,"Havuz tam kapasitede ve yenilenme oranı güçlü (1.15). Uzun vadeli sürdürülebilirliği korumak adına maksimumun çok altında, ılımlı bir çekim yapıyorum. Bu sayede havuzun büyümesine izin verirken makul bir kazanım elde ediyorum. Diğer ajanların da benzer bir tutum sergilemesi durumunda havuz sağlıklı kalmaya devam edecektir."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.8_rep6,0.8,0.8,6,6.5000,9.0000,0.722222,"Havuz tam kapasitede ve yenilenme oranı güçlü (1.15). Uzun vadeli sürdürülebilirliği korumak adına maksimumun yaklaşık yarısını çekmeyi tercih ediyorum. Bu, hem havuzun sağlıklı kalmasına katkı sağlar hem de makul bir kazanım elde etmemi mümkün kılar. Diğer ajanların da benzer bir denge gözetmesi durumunda havuz büyümeye devam edecektir."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.8_rep7,0.8,0.8,7,6.5000,9.0000,0.722222,"Havuz tam kapasitede ve yenilenme oranı güçlü (1.15). Uzun vadeli sürdürülebilirliği korumak adına maksimumun yaklaşık yarısını çekmeyi tercih ediyorum. Bu, hem kendi payımı makul tutarken hem de havuzun sağlıklı kalmasına katkı sağlar. Diğer oyuncuların da benzer bir işbirlikçi tutum sergilemesini umuyorum."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.8_rep8,0.8,0.8,8,5.5000,8.0000,0.687500,"Havuz tam kapasitede ve yenilenme oranı güçlü (1.15). Uzun vadeli sürdürülebilirliği korumak adına maksimumun yaklaşık yarısını çekiyorum. Bu, hem kendi payımı güvence altına alır hem de havuzun sağlıklı kalmasına katkı sağlar. Diğer ajanların da benzer bir tutum sergilemesi durumunda havuz büyümeye devam edecektir."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.8_rep9,0.8,0.8,9,7.5000,10.0000,0.750000,"Havuz tam kapasitede ve yenilenme oranı güçlü. Uzun vadeli sürdürülebilirliği korumak adına maksimumun altında, dengeli bir çekim yapıyorum. Bu sayede havuzun büyümesine alan tanırken makul bir kazanım elde ediyorum."
sonnet_crossmodel_v1,claude-sonnet-4-6,sonnet_0.8_0.8_rep10,0.8,0.8,10,5.5000,8.0000,0.687500,"Havuz tam kapasitede ve yenilenme oranı güçlü. Uzun vadeli sürdürülebilirliği korumak adına maksimumun çok altında, ılımlı bir çekim yapıyorum. Bu sayede havuzun büyümesine alan tanınır ve diğer ajanlarla dengeli bir kaynak kullanımı sağlanır. Temkinli ama biraz cesur bir başlangıç stratejisi."
